38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2011,,
,Februari,Agustus,Tahunan
ACEH,8.62,9,-
SUMATERA UTARA,7.47,8.18,-
SUMATERA BARAT,7.51,8.02,-
RIAU,7.51,6.09,-
JAMBI,3.98,4.63,-
SUMATERA SELATAN,6.29,6.6,-
BENGKULU,3.46,3.46,-
LAMPUNG,5.52,6.38,-
KEP. BANGKA BELITUNG,3.31,3.86,-
KEP. RIAU,7.2,5.38,-
DKI JAKARTA,10.86,11.69,-
JAWA BARAT,10.01,9.96,-
JAWA TENGAH,6.18,7.07,-
DI YOGYAKARTA,5.54,4.39,-
JAWA TIMUR,4.24,5.38,-
BANTEN,13.62,13.74,-
BALI,3,2.95,-
NUSA TENGGARA BARAT,5.46,5.25,-
NUSA TENGGARA TIMUR,2.76,3.11,-
KALIMANTAN BARAT,5.23,4.6,-
KALIMANTAN TENGAH,3.83,3.54,-
KALIMANTAN SELATAN,5.74,6.29,-
KALIMANTAN TIMUR,10.9,11.43,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,9.74,10.1,-
SULAWESI TENGAH,4.31,6.78,-
SULAWESI SELATAN,6.89,8.13,-
SULAWESI TENGGARA,4.45,4.69,-
GORONTALO,4.95,6.74,-
SULAWESI BARAT,2.77,3.35,-
MALUKU,8.18,10.81,-
MALUKU UTARA,5.8,5.34,-
PAPUA BARAT,6.82,6.73,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.84,5.02,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,6.96,7.48,-
