38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2022,,
,Februari,Agustus,Tahunan
ACEH,5.97,6.17,-
SUMATERA UTARA,5.47,6.16,-
SUMATERA BARAT,6.17,6.28,-
RIAU,4.4,4.37,-
JAMBI,4.7,4.59,-
SUMATERA SELATAN,4.74,4.63,-
BENGKULU,3.39,3.59,-
LAMPUNG,4.31,4.52,-
KEP. BANGKA BELITUNG,4.18,4.77,-
KEP. RIAU,8.02,8.23,-
DKI JAKARTA,8,7.18,-
JAWA BARAT,8.35,8.31,-
JAWA TENGAH,5.75,5.57,-
DI YOGYAKARTA,3.73,4.06,-
JAWA TIMUR,4.81,5.49,-
BANTEN,8.53,8.09,-
BALI,4.84,4.8,-
NUSA TENGGARA BARAT,3.92,2.89,-
NUSA TENGGARA TIMUR,3.3,3.54,-
KALIMANTAN BARAT,4.86,5.11,-
KALIMANTAN TENGAH,4.2,4.26,-
KALIMANTAN SELATAN,4.2,4.74,-
KALIMANTAN TIMUR,6.77,5.71,-
KALIMANTAN UTARA,4.62,4.33,-
SULAWESI UTARA,6.51,6.61,-
SULAWESI TENGAH,3.67,3,-
SULAWESI SELATAN,5.75,4.51,-
SULAWESI TENGGARA,3.86,3.36,-
GORONTALO,3.25,2.58,-
SULAWESI BARAT,3.11,2.34,-
MALUKU,6.44,6.88,-
MALUKU UTARA,4.98,3.98,-
PAPUA BARAT,5.78,5.37,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.6,2.83,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.83,5.86,-
