38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2010,,
,Februari,Agustus,Tahunan
ACEH,8.6,8.37,-
SUMATERA UTARA,8.01,7.43,-
SUMATERA BARAT,7.57,6.95,-
RIAU,7.21,8.72,-
JAMBI,4.45,5.39,-
SUMATERA SELATAN,6.55,6.65,-
BENGKULU,4.06,4.59,-
LAMPUNG,5.95,5.57,-
KEP. BANGKA BELITUNG,4.24,5.63,-
KEP. RIAU,7.21,6.9,-
DKI JAKARTA,11.32,11.05,-
JAWA BARAT,10.57,10.33,-
JAWA TENGAH,6.86,6.21,-
DI YOGYAKARTA,6.02,5.69,-
JAWA TIMUR,4.91,4.25,-
BANTEN,14.13,13.68,-
BALI,3.57,3.06,-
NUSA TENGGARA BARAT,5.78,5.29,-
NUSA TENGGARA TIMUR,3.49,3.34,-
KALIMANTAN BARAT,5.5,4.62,-
KALIMANTAN TENGAH,3.88,4.14,-
KALIMANTAN SELATAN,5.89,5.25,-
KALIMANTAN TIMUR,10.45,10.1,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,10.48,9.61,-
SULAWESI TENGAH,4.89,4.61,-
SULAWESI SELATAN,7.99,8.37,-
SULAWESI TENGGARA,4.77,4.61,-
GORONTALO,5.05,5.16,-
SULAWESI BARAT,4.1,3.25,-
MALUKU,9.13,9.97,-
MALUKU UTARA,6.03,6.03,-
PAPUA BARAT,7.77,7.68,-
PAPUA BARAT DAYA,-,-,-
PAPUA,4.08,3.55,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,7.41,7.14,-
