38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2017,,
,Februari,Agustus,Tahunan
ACEH,7.39,6.57,-
SUMATERA UTARA,6.41,5.6,-
SUMATERA BARAT,5.8,5.58,-
RIAU,5.76,6.22,-
JAMBI,3.67,3.87,-
SUMATERA SELATAN,3.8,4.39,-
BENGKULU,2.81,3.74,-
LAMPUNG,4.43,4.33,-
KEP. BANGKA BELITUNG,4.46,3.78,-
KEP. RIAU,6.44,7.16,-
DKI JAKARTA,5.36,7.14,-
JAWA BARAT,8.49,8.22,-
JAWA TENGAH,4.15,4.57,-
DI YOGYAKARTA,2.84,3.02,-
JAWA TIMUR,4.1,4,-
BANTEN,7.75,9.28,-
BALI,1.28,1.48,-
NUSA TENGGARA BARAT,3.86,3.32,-
NUSA TENGGARA TIMUR,3.21,3.27,-
KALIMANTAN BARAT,4.22,4.36,-
KALIMANTAN TENGAH,3.13,4.23,-
KALIMANTAN SELATAN,3.53,4.77,-
KALIMANTAN TIMUR,8.55,6.91,-
KALIMANTAN UTARA,5.17,5.54,-
SULAWESI UTARA,6.12,7.18,-
SULAWESI TENGAH,2.97,3.81,-
SULAWESI SELATAN,4.77,5.61,-
SULAWESI TENGGARA,3.14,3.3,-
GORONTALO,3.65,4.28,-
SULAWESI BARAT,2.98,3.21,-
MALUKU,7.77,9.29,-
MALUKU UTARA,4.82,5.33,-
PAPUA BARAT,7.52,6.49,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.96,3.62,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.33,5.5,-
