38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2019,,
,Februari,Agustus,Tahunan
ACEH,5.48,6.17,-
SUMATERA UTARA,5.57,5.39,-
SUMATERA BARAT,5.38,5.38,-
RIAU,5.36,5.76,-
JAMBI,3.52,4.06,-
SUMATERA SELATAN,4.02,4.53,-
BENGKULU,2.41,3.26,-
LAMPUNG,3.95,4.03,-
KEP. BANGKA BELITUNG,3.32,3.58,-
KEP. RIAU,7.02,7.5,-
DKI JAKARTA,5.5,6.54,-
JAWA BARAT,7.78,8.04,-
JAWA TENGAH,4.19,4.44,-
DI YOGYAKARTA,2.89,3.18,-
JAWA TIMUR,3.77,3.82,-
BANTEN,7.55,8.11,-
BALI,1.22,1.57,-
NUSA TENGGARA BARAT,3.15,3.28,-
NUSA TENGGARA TIMUR,2.98,3.14,-
KALIMANTAN BARAT,4.06,4.35,-
KALIMANTAN TENGAH,3.21,4.04,-
KALIMANTAN SELATAN,3.41,4.18,-
KALIMANTAN TIMUR,6.65,5.94,-
KALIMANTAN UTARA,5.84,4.49,-
SULAWESI UTARA,5.17,6.01,-
SULAWESI TENGAH,3.46,3.11,-
SULAWESI SELATAN,5.1,4.62,-
SULAWESI TENGGARA,2.88,3.52,-
GORONTALO,3.25,3.76,-
SULAWESI BARAT,1.29,2.98,-
MALUKU,6.61,6.69,-
MALUKU UTARA,4.96,4.81,-
PAPUA BARAT,5.81,6.43,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.22,3.51,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,4.98,5.23,-
