38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2012,,
,Februari,Agustus,Tahunan
ACEH,7.94,9.06,-
SUMATERA UTARA,6.43,6.28,-
SUMATERA BARAT,6.49,6.65,-
RIAU,5.29,4.37,-
JAMBI,3.69,3.2,-
SUMATERA SELATAN,5.6,5.66,-
BENGKULU,2.18,3.62,-
LAMPUNG,5.21,5.2,-
KEP. BANGKA BELITUNG,2.82,3.43,-
KEP. RIAU,5.71,5.08,-
DKI JAKARTA,10.6,9.67,-
JAWA BARAT,9.84,9.08,-
JAWA TENGAH,5.9,5.61,-
DI YOGYAKARTA,3.98,3.9,-
JAWA TIMUR,4.16,4.11,-
BANTEN,10.68,9.94,-
BALI,2.23,2.1,-
NUSA TENGGARA BARAT,5.23,5.23,-
NUSA TENGGARA TIMUR,2.53,3.04,-
KALIMANTAN BARAT,3.42,3.54,-
KALIMANTAN TENGAH,2.73,3.14,-
KALIMANTAN SELATAN,4.34,5.19,-
KALIMANTAN TIMUR,9.48,9.02,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,8.55,7.98,-
SULAWESI TENGAH,3.75,3.95,-
SULAWESI SELATAN,6.56,6.01,-
SULAWESI TENGGARA,3.2,4.14,-
GORONTALO,4.92,4.47,-
SULAWESI BARAT,2.1,2.16,-
MALUKU,7.59,7.71,-
MALUKU UTARA,5.5,4.82,-
PAPUA BARAT,6.57,5.42,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.03,3.71,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,6.37,6.13,-
