38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2018,,
,Februari,Agustus,Tahunan
ACEH,6.54,6.34,-
SUMATERA UTARA,5.61,5.55,-
SUMATERA BARAT,5.68,5.66,-
RIAU,5.55,5.98,-
JAMBI,3.56,3.73,-
SUMATERA SELATAN,4.08,4.27,-
BENGKULU,2.63,3.35,-
LAMPUNG,4.32,4.04,-
KEP. BANGKA BELITUNG,3.59,3.61,-
KEP. RIAU,7.3,8.04,-
DKI JAKARTA,5.73,6.65,-
JAWA BARAT,8.22,8.23,-
JAWA TENGAH,4.19,4.47,-
DI YOGYAKARTA,3,3.37,-
JAWA TIMUR,3.77,3.91,-
BANTEN,7.72,8.47,-
BALI,0.88,1.4,-
NUSA TENGGARA BARAT,3.28,3.58,-
NUSA TENGGARA TIMUR,2.82,2.85,-
KALIMANTAN BARAT,4.09,4.18,-
KALIMANTAN TENGAH,3.14,3.91,-
KALIMANTAN SELATAN,3.72,4.35,-
KALIMANTAN TIMUR,6.79,6.41,-
KALIMANTAN UTARA,4.7,5.11,-
SULAWESI UTARA,5.86,6.61,-
SULAWESI TENGAH,3.12,3.37,-
SULAWESI SELATAN,5.04,4.94,-
SULAWESI TENGGARA,2.77,3.19,-
GORONTALO,3.38,3.7,-
SULAWESI BARAT,2.33,3.01,-
MALUKU,7.07,6.95,-
MALUKU UTARA,4.56,4.63,-
PAPUA BARAT,6.27,6.45,-
PAPUA BARAT DAYA,-,-,-
PAPUA,2.75,3,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.1,5.3,-
