Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5554.8,1.39,1.97,98,100.9
Sumatera Utara,15588.5,1.4,5.54,215,100.8
Sumatera Barat,5836.2,1.43,2.07,139,101.5
Riau,6728.1,1.37,2.39,75,104.4
Jambi,3724.3,1.3,1.32,76,103.4
Sumatera Selatan,8837.3,1.15,3.14,102,103.7
Bengkulu,2112.2,1.32,0.75,105,104.4
Lampung,9419.6,1.2,3.34,281,104.3
Kepulauan Bangka Belitung,1531.5,1.36,0.54,92,105.4
Kepulauan Riau,2183.3,1.5,0.78,264,103.3
DKI Jakarta,10684.9,0.31,3.79,16165,101.1
Jawa Barat,50345.2,1.13,17.88,1359,102.6
Jawa Tengah,37892.3,0.99,13.46,1104,101
DI Yogyakarta,3759.5,0.65,1.34,1186,97.9
Jawa Timur,41814.5,0.75,14.85,870,99.4
Banten,12431.4,1.16,4.41,1329,103.4
Bali,4433.3,0.71,1.57,793,100.5
Nusa Tenggara Barat,5646,1.6,2,287,100.7
Nusa Tenggara Timur,5656,1.62,2.01,122,100
Kalimantan Barat,5695.5,1.36,2.02,39,105.4
Kalimantan Tengah,2809.7,1.37,1,18,106.8
Kalimantan Selatan,4273.4,1.29,1.52,115,102.3
Kalimantan Timur,4045.9,1.93,1.44,32,107.3
Kalimantan Utara,739.8,1.41,0.26,11,110.7
Sulawesi Utara,2701.8,0.8,0.96,186,104.3
Sulawesi Tengah,3121.8,1.2,1.11,51,105.2
Sulawesi Selatan,9463.4,1.13,3.36,209,98.8
Sulawesi Tenggara,2793.1,1.67,0.99,77,102.6
Gorontalo,1227.8,1.26,0.44,102,101.7
Sulawesi Barat,1503.2,1.55,0.53,91,102.7
Maluku,1945.6,1.37,0.69,42,102.3
Maluku Utara,1355.6,1.48,0.48,41,105.1
Papua Barat,578.7,1.71,0.21,10,110.8
Papua Barat Daya,627.1,1.59,0.22,16,108.9
Papua,1060.6,1.36,0.38,13,109.7
Papua Selatan,542.1,1.45,0.19,5,108
Papua Tengah,1472.9,1.54,0.52,24,114
Papua Pegunungan,1467,1.43,0.52,29,114.5
Indonesia,281603.8,1.11,100,149,102
,,,,,
Catatan,,,,,
"<sup>1</sup> Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/<i>Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June)</i><sup>2</sup> Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2024(Juni)/<i>The growth rate refers to the change of the population in 2020 (September) to the population in 2024 (June)    </i><sup>3</sup> Luas provinsi berdasarkan  Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tanggal 9 November 2022/<i>Province area Based on Ministerial Decree of Home Affairs Number 100.1.1-6117,9 November 2022</i><sup>4</sup> Laju Pertumbuhan Penduduk dihitung dengan menggunakan data dasar jumlah penduduk tahun 2020 yang merupakan penjumlahan dari",,,,,
kabupaten/kota pembentuk/<i>The Population Growth Rate calculated refers to total population 2020 is the sum of the forming regency/municipality</i>,,,,,
