38 Provinsi,,,,,,,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2011,,,2011,,,2011,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,0.84,-,-,0.98,-,-,0.94
SUMATERA UTARA,-,-,0.53,-,-,0.49,-,-,0.51
SUMATERA BARAT,-,-,0.35,-,-,0.36,-,-,0.35
RIAU,-,-,0.16,-,-,0.37,-,-,0.29
JAMBI,-,-,0.26,-,-,0.14,-,-,0.18
SUMATERA SELATAN,-,-,0.87,-,-,0.58,-,-,0.69
BENGKULU,-,-,0.73,-,-,0.56,-,-,0.62
LAMPUNG,-,-,0.52,-,-,0.79,-,-,0.72
KEP. BANGKA BELITUNG,-,-,0.04,-,-,0.21,-,-,0.13
KEP. RIAU,-,-,0.37,-,-,0.27,-,-,0.35
DKI JAKARTA,-,-,0.15,-,-,-,-,-,0.15
JAWA BARAT,-,-,0.38,-,-,0.53,-,-,0.43
JAWA TENGAH,-,-,0.66,-,-,0.66,-,-,0.66
DI YOGYAKARTA,-,-,0.5,-,-,0.93,-,-,0.65
JAWA TIMUR,-,-,0.34,-,-,0.72,-,-,0.54
BANTEN,-,-,0.14,-,-,0.33,-,-,0.2
BALI,-,-,0.2,-,-,0.09,-,-,0.16
NUSA TENGGARA BARAT,-,-,1.25,-,-,0.71,-,-,0.94
NUSA TENGGARA TIMUR,-,-,0.65,-,-,1.42,-,-,1.27
KALIMANTAN BARAT,-,-,0.2,-,-,0.31,-,-,0.28
KALIMANTAN TENGAH,-,-,0.26,-,-,0.23,-,-,0.24
KALIMANTAN SELATAN,-,-,0.11,-,-,0.27,-,-,0.2
KALIMANTAN TIMUR,-,-,0.19,-,-,0.29,-,-,0.23
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.18,-,-,0.29,-,-,0.24
SULAWESI TENGAH,-,-,0.59,-,-,0.81,-,-,0.75
SULAWESI SELATAN,-,-,0.16,-,-,0.53,-,-,0.4
SULAWESI TENGGARA,-,-,0.16,-,-,0.89,-,-,0.69
GORONTALO,-,-,0.18,-,-,1.43,-,-,1
SULAWESI BARAT,-,-,0.3,-,-,0.71,-,-,0.61
MALUKU,-,-,0.55,-,-,2.13,-,-,1.54
MALUKU UTARA,-,-,0.01,-,-,0.28,-,-,0.21
PAPUA BARAT,-,-,0.14,-,-,4.4,-,-,3.43
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.15,-,-,3.74,-,-,2.81
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.39,-,-,0.7,-,-,0.55
