38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2014,,
,Februari,Agustus,Tahunan
ACEH,6.75,9.02,-
SUMATERA UTARA,5.95,6.23,-
SUMATERA BARAT,6.32,6.5,-
RIAU,4.99,6.56,-
JAMBI,2.5,5.08,-
SUMATERA SELATAN,3.84,4.96,-
BENGKULU,1.62,3.47,-
LAMPUNG,5.08,4.79,-
KEP. BANGKA BELITUNG,2.67,5.14,-
KEP. RIAU,5.26,6.69,-
DKI JAKARTA,9.84,8.47,-
JAWA BARAT,8.66,8.45,-
JAWA TENGAH,5.45,5.68,-
DI YOGYAKARTA,2.16,3.33,-
JAWA TIMUR,4.02,4.19,-
BANTEN,9.87,9.07,-
BALI,1.37,1.9,-
NUSA TENGGARA BARAT,5.3,5.75,-
NUSA TENGGARA TIMUR,1.97,3.26,-
KALIMANTAN BARAT,2.53,4.04,-
KALIMANTAN TENGAH,2.71,3.24,-
KALIMANTAN SELATAN,4.03,3.8,-
KALIMANTAN TIMUR,8.89,7.38,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,7.27,7.54,-
SULAWESI TENGAH,2.92,3.68,-
SULAWESI SELATAN,5.79,5.08,-
SULAWESI TENGGARA,2.13,4.43,-
GORONTALO,2.44,4.18,-
SULAWESI BARAT,1.6,2.08,-
MALUKU,6.59,10.51,-
MALUKU UTARA,5.65,5.29,-
PAPUA BARAT,3.7,5.02,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.48,3.44,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.7,5.94,-
