38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2020,,
,Februari,Agustus,Tahunan
ACEH,5.4,6.59,-
SUMATERA UTARA,4.71,6.91,-
SUMATERA BARAT,5.25,6.88,-
RIAU,4.92,6.32,-
JAMBI,4.26,5.13,-
SUMATERA SELATAN,3.9,5.51,-
BENGKULU,3.08,4.07,-
LAMPUNG,4.26,4.67,-
KEP. BANGKA BELITUNG,3.35,5.25,-
KEP. RIAU,5.98,10.34,-
DKI JAKARTA,5.15,10.95,-
JAWA BARAT,7.71,10.46,-
JAWA TENGAH,4.2,6.48,-
DI YOGYAKARTA,3.38,4.57,-
JAWA TIMUR,3.6,5.84,-
BANTEN,7.99,10.64,-
BALI,1.25,5.63,-
NUSA TENGGARA BARAT,3.04,4.22,-
NUSA TENGGARA TIMUR,2.64,4.28,-
KALIMANTAN BARAT,4.47,5.81,-
KALIMANTAN TENGAH,3.33,4.58,-
KALIMANTAN SELATAN,3.67,4.74,-
KALIMANTAN TIMUR,6.72,6.87,-
KALIMANTAN UTARA,5.71,4.97,-
SULAWESI UTARA,5.34,7.37,-
SULAWESI TENGAH,2.93,3.77,-
SULAWESI SELATAN,5.7,6.31,-
SULAWESI TENGGARA,3.1,4.58,-
GORONTALO,3.29,4.28,-
SULAWESI BARAT,2.39,3.32,-
MALUKU,6.71,7.57,-
MALUKU UTARA,4.09,5.15,-
PAPUA BARAT,6.78,6.8,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.42,4.28,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,4.94,7.07,-
