38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2008,,,2008,,,2008,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,-,-,0.301,-,-,0.253,-,-,0.29
SUMATERA UTARA,-,-,0.335,-,-,0.272,-,-,0.323
SUMATERA BARAT,-,-,0.304,-,-,0.276,-,-,0.308
RIAU,-,-,0.325,-,-,0.295,-,-,0.328
JAMBI,-,-,0.297,-,-,0.283,-,-,0.295
SUMATERA SELATAN,-,-,0.316,-,-,0.291,-,-,0.313
BENGKULU,-,-,0.343,-,-,0.335,-,-,0.348
LAMPUNG,-,-,0.415,-,-,0.292,-,-,0.362
KEP. BANGKA BELITUNG,-,-,0.279,-,-,0.268,-,-,0.275
KEP. RIAU,-,-,0.309,-,-,0.259,-,-,0.316
DKI JAKARTA,-,-,0.362,-,-,-,-,-,0.362
JAWA BARAT,-,-,0.354,-,-,0.289,-,-,0.36
JAWA TENGAH,-,-,0.332,-,-,0.274,-,-,0.325
DI YOGYAKARTA,-,-,0.368,-,-,0.3,-,-,0.376
JAWA TIMUR,-,-,0.345,-,-,0.286,-,-,0.346
BANTEN,-,-,0.344,-,-,0.255,-,-,0.354
BALI,-,-,0.313,-,-,0.281,-,-,0.318
NUSA TENGGARA BARAT,-,-,0.362,-,-,0.303,-,-,0.342
NUSA TENGGARA TIMUR,-,-,0.331,-,-,0.29,-,-,0.349
KALIMANTAN BARAT,-,-,0.344,-,-,0.298,-,-,0.326
KALIMANTAN TENGAH,-,-,0.317,-,-,0.275,-,-,0.307
KALIMANTAN SELATAN,-,-,0.365,-,-,0.273,-,-,0.345
KALIMANTAN TIMUR,-,-,0.359,-,-,0.278,-,-,0.362
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.295,-,-,0.285,-,-,0.295
SULAWESI TENGAH,-,-,0.314,-,-,0.321,-,-,0.34
SULAWESI SELATAN,-,-,0.354,-,-,0.302,-,-,0.37
SULAWESI TENGGARA,-,-,0.327,-,-,0.28,-,-,0.338
GORONTALO,-,-,0.35,-,-,0.307,-,-,0.353
SULAWESI BARAT,-,-,0.317,-,-,0.319,-,-,0.323
MALUKU,-,-,0.3,-,-,0.272,-,-,0.324
MALUKU UTARA,-,-,0.311,-,-,0.29,-,-,0.339
PAPUA BARAT,-,-,0.272,-,-,0.298,-,-,0.326
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.309,-,-,0.363,-,-,0.407
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.367,-,-,0.3,-,-,0.368
