38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2024,,
,Februari,Agustus,Tahunan
ACEH,5.56,5.75,-
SUMATERA UTARA,5.1,5.6,-
SUMATERA BARAT,5.79,5.75,-
RIAU,3.85,3.7,-
JAMBI,4.45,4.48,-
SUMATERA SELATAN,3.97,3.86,-
BENGKULU,3.17,3.11,-
LAMPUNG,4.12,4.19,-
KEP. BANGKA BELITUNG,3.85,4.63,-
KEP. RIAU,6.94,6.39,-
DKI JAKARTA,6.03,6.21,-
JAWA BARAT,6.91,6.75,-
JAWA TENGAH,4.39,4.78,-
DI YOGYAKARTA,3.24,3.48,-
JAWA TIMUR,3.74,4.19,-
BANTEN,7.02,6.68,-
BALI,1.87,1.79,-
NUSA TENGGARA BARAT,3.3,2.73,-
NUSA TENGGARA TIMUR,3.17,3.02,-
KALIMANTAN BARAT,4.2,4.86,-
KALIMANTAN TENGAH,3.67,4.01,-
KALIMANTAN SELATAN,3.89,4.2,-
KALIMANTAN TIMUR,5.75,5.14,-
KALIMANTAN UTARA,4.01,3.9,-
SULAWESI UTARA,5.98,5.85,-
SULAWESI TENGAH,3.15,2.94,-
SULAWESI SELATAN,4.9,4.19,-
SULAWESI TENGGARA,3.22,3.09,-
GORONTALO,3.05,3.13,-
SULAWESI BARAT,3.02,2.68,-
MALUKU,5.96,6.11,-
MALUKU UTARA,4.16,4.03,-
PAPUA BARAT,4.31,4.13,-
PAPUA BARAT DAYA,6.02,6.48,-
PAPUA,5.81,6.48,-
PAPUA SELATAN,4.75,4.05,-
PAPUA TENGAH,2.49,2.75,-
PAPUA PEGUNUNGAN,1.18,1.32,-
INDONESIA,4.82,4.91,-
