38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2010,,,2010,,,2010,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.312,-,-,0.261,-,-,0.301,-,-
SUMATERA UTARA,0.371,-,-,0.279,-,-,0.346,-,-
SUMATERA BARAT,0.315,-,-,0.306,-,-,0.325,-,-
RIAU,0.32,-,-,0.286,-,-,0.326,-,-
JAMBI,0.301,-,-,0.293,-,-,0.304,-,-
SUMATERA SELATAN,0.348,-,-,0.309,-,-,0.34,-,-
BENGKULU,0.397,-,-,0.319,-,-,0.365,-,-
LAMPUNG,0.397,-,-,0.309,-,-,0.36,-,-
KEP. BANGKA BELITUNG,0.314,-,-,0.255,-,-,0.296,-,-
KEP. RIAU,0.306,-,-,0.227,-,-,0.293,-,-
DKI JAKARTA,0.361,-,-,-,-,-,0.361,-,-
JAWA BARAT,0.357,-,-,0.298,-,-,0.356,-,-
JAWA TENGAH,0.357,-,-,0.297,-,-,0.341,-,-
DI YOGYAKARTA,0.404,-,-,0.331,-,-,0.407,-,-
JAWA TIMUR,0.335,-,-,0.287,-,-,0.337,-,-
BANTEN,0.419,-,-,0.289,-,-,0.419,-,-
BALI,0.37,-,-,0.313,-,-,0.366,-,-
NUSA TENGGARA BARAT,0.444,-,-,0.328,-,-,0.396,-,-
NUSA TENGGARA TIMUR,0.347,-,-,0.345,-,-,0.378,-,-
KALIMANTAN BARAT,0.402,-,-,0.309,-,-,0.37,-,-
KALIMANTAN TENGAH,0.298,-,-,0.295,-,-,0.304,-,-
KALIMANTAN SELATAN,0.394,-,-,0.306,-,-,0.366,-,-
KALIMANTAN TIMUR,0.344,-,-,0.31,-,-,0.368,-,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.379,-,-,0.34,-,-,0.37,-,-
SULAWESI TENGAH,0.371,-,-,0.334,-,-,0.366,-,-
SULAWESI SELATAN,0.37,-,-,0.361,-,-,0.404,-,-
SULAWESI TENGGARA,0.413,-,-,0.351,-,-,0.421,-,-
GORONTALO,0.374,-,-,0.438,-,-,0.431,-,-
SULAWESI BARAT,0.383,-,-,0.33,-,-,0.364,-,-
MALUKU,0.303,-,-,0.322,-,-,0.329,-,-
MALUKU UTARA,0.29,-,-,0.278,-,-,0.336,-,-
PAPUA BARAT,0.291,-,-,0.346,-,-,0.381,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.294,-,-,0.408,-,-,0.414,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.382,-,-,0.315,-,-,0.378,-,-
