38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2005,,,2005,,,2005,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,-,-,0.332,-,-,0.239,-,-,0.288
SUMATERA UTARA,-,-,0.298,-,-,0.269,-,-,0.304
SUMATERA BARAT,-,-,0.384,-,-,0.256,-,-,0.387
RIAU,-,-,0.314,-,-,0.213,-,-,0.293
JAMBI,-,-,0.243,-,-,0.332,-,-,0.304
SUMATERA SELATAN,-,-,0.283,-,-,0.229,-,-,0.281
BENGKULU,-,-,0.236,-,-,0.301,-,-,0.286
LAMPUNG,-,-,0.277,-,-,0.315,-,-,0.31
KEP. BANGKA BELITUNG,-,-,0.244,-,-,0.221,-,-,0.236
KEP. RIAU,-,-,0.397,-,-,0.208,-,-,0.399
DKI JAKARTA,-,-,0.337,-,-,-,-,-,0.337
JAWA BARAT,-,-,0.347,-,-,0.23,-,-,0.329
JAWA TENGAH,-,-,0.346,-,-,0.259,-,-,0.323
DI YOGYAKARTA,-,-,0.369,-,-,0.268,-,-,0.407
JAWA TIMUR,-,-,0.298,-,-,0.27,-,-,0.318
BANTEN,-,-,0.261,-,-,0.275,-,-,0.324
BALI,-,-,0.407,-,-,0.246,-,-,0.36
NUSA TENGGARA BARAT,-,-,0.348,-,-,0.28,-,-,0.331
NUSA TENGGARA TIMUR,-,-,0.297,-,-,0.263,-,-,0.301
KALIMANTAN BARAT,-,-,0.248,-,-,0.287,-,-,0.292
KALIMANTAN TENGAH,-,-,0.38,-,-,0.257,-,-,0.322
KALIMANTAN SELATAN,-,-,0.25,-,-,0.286,-,-,0.29
KALIMANTAN TIMUR,-,-,0.287,-,-,0.234,-,-,0.326
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.375,-,-,0.282,-,-,0.401
SULAWESI TENGAH,-,-,0.237,-,-,0.259,-,-,0.282
SULAWESI SELATAN,-,-,0.353,-,-,0.235,-,-,0.361
SULAWESI TENGGARA,-,-,0.307,-,-,0.29,-,-,0.314
GORONTALO,-,-,0.209,-,-,0.246,-,-,0.248
SULAWESI BARAT,-,-,-,-,-,-,-,-,-
MALUKU,-,-,0.315,-,-,0.174,-,-,0.266
MALUKU UTARA,-,-,0.343,-,-,0.217,-,-,0.276
PAPUA BARAT,-,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.267,-,-,0.546,-,-,0.506
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,0.351,-,-,0.28,-,-,0.355
