38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2023,,
,Februari,Agustus,Tahunan
ACEH,5.75,6.03,-
SUMATERA UTARA,5.24,5.89,-
SUMATERA BARAT,5.9,5.94,-
RIAU,4.25,4.23,-
JAMBI,4.5,4.53,-
SUMATERA SELATAN,4.53,4.11,-
BENGKULU,3.21,3.42,-
LAMPUNG,4.18,4.23,-
KEP. BANGKA BELITUNG,3.89,4.56,-
KEP. RIAU,7.61,6.8,-
DKI JAKARTA,7.57,6.53,-
JAWA BARAT,7.89,7.44,-
JAWA TENGAH,5.24,5.13,-
DI YOGYAKARTA,3.58,3.69,-
JAWA TIMUR,4.33,4.88,-
BANTEN,7.97,7.52,-
BALI,3.73,2.69,-
NUSA TENGGARA BARAT,3.73,2.8,-
NUSA TENGGARA TIMUR,3.1,3.14,-
KALIMANTAN BARAT,4.52,5.05,-
KALIMANTAN TENGAH,3.84,4.1,-
KALIMANTAN SELATAN,3.95,4.31,-
KALIMANTAN TIMUR,6.37,5.31,-
KALIMANTAN UTARA,4.1,4.01,-
SULAWESI UTARA,6.19,6.1,-
SULAWESI TENGAH,3.49,2.95,-
SULAWESI SELATAN,5.26,4.33,-
SULAWESI TENGGARA,3.66,3.15,-
GORONTALO,3.07,3.06,-
SULAWESI BARAT,3.04,2.27,-
MALUKU,6.08,6.31,-
MALUKU UTARA,4.6,4.31,-
PAPUA BARAT,5.53,5.38,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.49,2.67,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.45,5.32,-
