38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2016,,
,Februari,Agustus,Tahunan
ACEH,8.13,7.57,-
SUMATERA UTARA,6.49,5.84,-
SUMATERA BARAT,5.81,5.09,-
RIAU,5.94,7.43,-
JAMBI,4.66,4,-
SUMATERA SELATAN,3.94,4.31,-
BENGKULU,3.84,3.3,-
LAMPUNG,4.54,4.62,-
KEP. BANGKA BELITUNG,6.17,2.6,-
KEP. RIAU,9.03,7.69,-
DKI JAKARTA,5.77,6.12,-
JAWA BARAT,8.57,8.89,-
JAWA TENGAH,4.2,4.63,-
DI YOGYAKARTA,2.81,2.72,-
JAWA TIMUR,4.14,4.21,-
BANTEN,7.95,8.92,-
BALI,2.12,1.89,-
NUSA TENGGARA BARAT,3.66,3.94,-
NUSA TENGGARA TIMUR,3.59,3.25,-
KALIMANTAN BARAT,4.58,4.23,-
KALIMANTAN TENGAH,3.67,4.82,-
KALIMANTAN SELATAN,3.63,5.45,-
KALIMANTAN TIMUR,8.86,7.95,-
KALIMANTAN UTARA,3.92,5.23,-
SULAWESI UTARA,7.82,6.18,-
SULAWESI TENGAH,3.46,3.29,-
SULAWESI SELATAN,5.11,4.8,-
SULAWESI TENGGARA,3.78,2.72,-
GORONTALO,3.88,2.76,-
SULAWESI BARAT,2.72,3.33,-
MALUKU,6.98,7.05,-
MALUKU UTARA,3.43,4.01,-
PAPUA BARAT,5.73,7.46,-
PAPUA BARAT DAYA,-,-,-
PAPUA,2.97,3.35,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.5,5.61,-
