38 Province,,,,,,,,,
,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,
,Urban,,,Rural,,,Urban+Rural,,
,2009,,,2009,,,2009,,
,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually,Semester 1 (March),Semester 2 (September),Annually
ACEH,0.291,-,-,0.25,-,-,0.288,-,-
SUMATERA UTARA,0.327,-,-,0.26,-,-,0.317,-,-
SUMATERA BARAT,0.289,-,-,0.268,-,-,0.298,-,-
RIAU,0.311,-,-,0.326,-,-,0.331,-,-
JAMBI,0.276,-,-,0.245,-,-,0.269,-,-
SUMATERA SELATAN,0.326,-,-,0.27,-,-,0.313,-,-
BENGKULU,0.319,-,-,0.276,-,-,0.302,-,-
LAMPUNG,0.39,-,-,0.296,-,-,0.353,-,-
KEP. BANGKA BELITUNG,0.277,-,-,0.29,-,-,0.288,-,-
KEP. RIAU,0.291,-,-,0.239,-,-,0.287,-,-
DKI JAKARTA,0.356,-,-,-,-,-,0.356,-,-
JAWA BARAT,0.378,-,-,0.282,-,-,0.365,-,-
JAWA TENGAH,0.331,-,-,0.274,-,-,0.319,-,-
DI YOGYAKARTA,0.367,-,-,0.312,-,-,0.376,-,-
JAWA TIMUR,0.333,-,-,0.278,-,-,0.334,-,-
BANTEN,0.357,-,-,0.279,-,-,0.369,-,-
BALI,0.316,-,-,0.256,-,-,0.315,-,-
NUSA TENGGARA BARAT,0.398,-,-,0.299,-,-,0.354,-,-
NUSA TENGGARA TIMUR,0.339,-,-,0.305,-,-,0.357,-,-
KALIMANTAN BARAT,0.343,-,-,0.288,-,-,0.321,-,-
KALIMANTAN TENGAH,0.29,-,-,0.262,-,-,0.293,-,-
KALIMANTAN SELATAN,0.371,-,-,0.295,-,-,0.348,-,-
KALIMANTAN TIMUR,0.355,-,-,0.283,-,-,0.379,-,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.3,-,-,0.315,-,-,0.311,-,-
SULAWESI TENGAH,0.336,-,-,0.311,-,-,0.338,-,-
SULAWESI SELATAN,0.375,-,-,0.296,-,-,0.394,-,-
SULAWESI TENGGARA,0.37,-,-,0.265,-,-,0.359,-,-
GORONTALO,0.326,-,-,0.338,-,-,0.355,-,-
SULAWESI BARAT,0.328,-,-,0.279,-,-,0.301,-,-
MALUKU,0.319,-,-,0.265,-,-,0.312,-,-
MALUKU UTARA,0.292,-,-,0.249,-,-,0.327,-,-
PAPUA BARAT,0.259,-,-,0.327,-,-,0.353,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.292,-,-,0.334,-,-,0.383,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,0.372,-,-,0.295,-,-,0.367,-,-
