38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2013,,
,Februari,Agustus,Tahunan
ACEH,8.34,10.12,-
SUMATERA UTARA,6.09,6.45,-
SUMATERA BARAT,6.39,7.02,-
RIAU,4.19,5.48,-
JAMBI,2.89,4.76,-
SUMATERA SELATAN,5.41,4.84,-
BENGKULU,2.1,4.61,-
LAMPUNG,5.07,5.69,-
KEP. BANGKA BELITUNG,3.22,3.65,-
KEP. RIAU,6.05,5.63,-
DKI JAKARTA,9.64,8.63,-
JAWA BARAT,8.88,9.16,-
JAWA TENGAH,5.53,6.01,-
DI YOGYAKARTA,3.75,3.24,-
JAWA TIMUR,3.97,4.3,-
BANTEN,9.77,9.54,-
BALI,1.93,1.83,-
NUSA TENGGARA BARAT,5.28,5.3,-
NUSA TENGGARA TIMUR,2.12,3.25,-
KALIMANTAN BARAT,3.13,3.99,-
KALIMANTAN TENGAH,1.81,3,-
KALIMANTAN SELATAN,3.88,3.66,-
KALIMANTAN TIMUR,8.94,7.95,-
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,7.5,6.79,-
SULAWESI TENGAH,2.67,4.19,-
SULAWESI SELATAN,5.88,5.1,-
SULAWESI TENGGARA,3.43,4.38,-
GORONTALO,4.51,4.15,-
SULAWESI BARAT,2.02,2.35,-
MALUKU,6.97,9.91,-
MALUKU UTARA,5.5,3.8,-
PAPUA BARAT,4.36,4.4,-
PAPUA BARAT DAYA,-,-,-
PAPUA,2.91,3.15,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,5.88,6.17,-
