38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2021,,
,Februari,Agustus,Tahunan
ACEH,6.3,6.3,-
SUMATERA UTARA,6.01,6.33,-
SUMATERA BARAT,6.67,6.52,-
RIAU,4.96,4.42,-
JAMBI,4.76,5.09,-
SUMATERA SELATAN,5.17,4.98,-
BENGKULU,3.72,3.65,-
LAMPUNG,4.54,4.69,-
KEP. BANGKA BELITUNG,5.04,5.03,-
KEP. RIAU,10.12,9.91,-
DKI JAKARTA,8.51,8.5,-
JAWA BARAT,8.92,9.82,-
JAWA TENGAH,5.96,5.95,-
DI YOGYAKARTA,4.28,4.56,-
JAWA TIMUR,5.17,5.74,-
BANTEN,9.01,8.98,-
BALI,5.42,5.37,-
NUSA TENGGARA BARAT,3.97,3.01,-
NUSA TENGGARA TIMUR,3.38,3.77,-
KALIMANTAN BARAT,5.73,5.82,-
KALIMANTAN TENGAH,4.25,4.53,-
KALIMANTAN SELATAN,4.33,4.95,-
KALIMANTAN TIMUR,6.81,6.83,-
KALIMANTAN UTARA,4.67,4.58,-
SULAWESI UTARA,7.28,7.06,-
SULAWESI TENGAH,3.73,3.75,-
SULAWESI SELATAN,5.79,5.72,-
SULAWESI TENGGARA,4.22,3.92,-
GORONTALO,3.41,3.01,-
SULAWESI BARAT,3.28,3.13,-
MALUKU,6.73,6.93,-
MALUKU UTARA,5.06,4.71,-
PAPUA BARAT,6.18,5.84,-
PAPUA BARAT DAYA,-,-,-
PAPUA,3.77,3.33,-
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,6.26,6.49,-
